QID,tipo_modelo,origem_modelo,tecnica_prompt,pergunta_resumo,redflags_str,Coluna 1
1,SLM,SLM (TinyLlama),chain-of-thought,What happens if only 20% of people use the internet?,"Gabarito incorreto, Ambiguidade","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
2,SLM,SLM (TinyLlama),template-based,What is the main reason why some individuals do not have access to digital resources at home?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
3,SLM,SLM (TinyLlama),few-shot,Why is asymmetric encryption better for online security?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
4,SLM,SLM (TinyLlama),chain-of-thought,What happens if the password is shared between both users?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Distratores fracos/triviais, Gabarito incorreto/erro factual"
5,SLM,SLM (TinyLlama),few-shot,What is the purpose of a node in a graph?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
6,SLM,SLM (TinyLlama),template-based,Which method is used to ensure packet delivery in a multicast network?,"Ambiguidade, Gabarito incorreto, Problemas de linguagem","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
7,SLM,SLM (TinyLlama),template-based,How can key generation prevent data sharing?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto, Problemas de linguagem","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual, Problemas de linguagem/gramática"
8,SLM,SLM (TinyLlama),few-shot,Why is digital literacy important for digital citizenship?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
9,SLM,SLM (TinyLlama),template-based,[..],"Ambiguidade, Falta de contexto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa"
10,SLM,SLM (TinyLlama),zero-shot,9. Which online misinformation is most likely to spread among young people?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Gabarito incorreto/erro factual"
11,SLM,SLM (TinyLlama),template-based,Which malware is most frequently used for phishing attacks?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
12,SLM,SLM (TinyLlama),chain-of-thought,Why is recursion used in algorithms?,"Ambiguidade, Distratores Fracos, Gabarito incorreto, Ausência de avaliação clara","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual, Sem objetivo avaliativo claro"
13,SLM,SLM (TinyLlama),chain-of-thought,What happens if a node is removed from a Graph?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
14,SLM,SLM (TinyLlama),zero-shot,What is the main benefit of the European Union's General Data Protection Regulation (GDPR)?,"Ambiguidade, Desalinhamento entre enunciado e alternativas, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções, Distratores fracos/triviais, Gabarito incorreto/erro factual"
15,SLM,SLM (TinyLlama),template-based,[..],Ausência de avaliação clara,(nenhuma detectada)
16,SLM,SLM (TinyLlama),zero-shot,Which information is required by law for a company to comply with LGPD?,"Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
